# ESModuleのExamplesのリスト
# github pagesのJekyllの機能で_dataにあるcsvを使ってテーブル化することも考えましたが、テーブル化だけでなく、cvsv自体をデータとしてwebから使いたいケースに対応できなさそうなのでwebAppsで組み立てることにした・・・

GPIO
hello-real-world,Lチカ,GPIO PORT26に繋いだLEDを点滅させる
gpio-onchange,スイッチ,GPIO PORT5に繋いだスイッチのON/OFFを検知する
gpio-polling,スイッチ2,GPIO PORT5に繋いだスイッチのON/OFFをポーリングで検知する
gpio-inout,スイッチ+LED,GPIO PORT5に繋いだスイッチのON/OFFを検知してPORT26に繋いだLEDを点灯/消灯する
hbridge1,モータ正転・逆転制御,GPIO接続のH-BridgeモータドライバでDCモータの正転・逆転制御を可能にします。
a4988,ステッピングモータ制御,GPIO接続のA4988ステッピングモータ専用ドライバで２相ステッピングモータの正転・逆転・回転ステップ数を制御を可能にします。
#I2C-PWMHBridge,モータ正転・逆転・速度制御,GPIO接続のH-Bridgeモータドライバ及びI2C接続のPWMドライバPCA9685でDCモータの正転・逆転さらに速度制御を可能にします。

I2C
ads1015,電圧測定(ADC),I2C接続のADC（アナログ・デジタルコンバータ）ADS1015経由で電圧を表示します。
ads1x15,電圧測定(ADC),I2C接続の16bitADC（アナログ・デジタルコンバータ）ADS1115経由で可変抵抗器の電圧を表示します。
adt7410,温度センサ,I2C接続の温度センサー「ADT7410」を用いて温度を計測し表示します。
adxl345,3軸加速度,I2C接続の3軸加速度センサーADXL345で取得した値を表示します。Grove-Accelerometerもしくはジェネリック品
amg8833,サーモグラフィ,I2C接続のサーモグラフィーデバイス AMG8833を使用します。
#apds9960,近接・環境光・ジェスチャー,近接・環境光・ジェスチャーセンサーAPDS9960で取得した値を表示します。
bh1750,照度センサ,I2C接続の照度センサーBH1750の値を表示します。
bme280,温度・湿度・気圧,I2C接続の温度・湿度・気圧　複合センサーBME280で取得した値を表示します。スレーブアドレスが 0x76 のものと 0x77 のものがあるので注意
bmp180,温度・気圧,I2C接続の温度・気圧　複合センサーBMP180で取得した値を表示します。
bmp280,温度・気圧,I2C接続の温度・気圧　複合センサーで取得した値を表示します。（BMP280は、BMP180とは別のデバイスです。注意）
#bme680,温度・湿度・気圧・ガス,I2C接続の温度・湿度・気圧・ガス　複合センサーで取得した値を表示します。スレーブアドレスが 0x76 のものと 0x77 のものがあるので注意
#ccs811,CO2, TVOCセンサ、I2C接続のCO2、TVOCセンサCS811を使用します。
gp2y0e03,距離センサ,I2C接続の赤外線測距センサー（センサーから障害物までの距離を測るセンサー）GP2Y0E03の値を表示します。
ina219,電流・電力,I2C接続のDC電流センサーINA219で取得した値を表示します。電圧と電力も取得できます。
mlx90614,赤外線温度センサ,I2C接続の赤外線温度センサーMLX90614で取得した値を表示します。周囲温度も取得できます。
mpr121,タッチセンサ,I2C接続のタッチセンサー（静電容量式タッチキー）MPR121によるタッチ検出をおこないます。Grove-Touchもしくはジェネリック品
mpu6050,３軸ジャイロ＋３軸加速度,I2C接続の３軸ジャイロ(角速度)＋３軸加速度　複合センサーMPU6050で取得した値を表示します。
mpu9250,３軸ジャイロ＋３軸加速度＋３軸磁気,I2C接続の３軸ジャイロ＋３軸加速度＋３軸磁気　複合センサーMPU9250で取得した値を表示します。このセンサーは、MPU6500(３軸ジャイロ＋３軸加速度)とAK8963(３軸磁気)という二つのI2Cセンサが１パッケージに封入された複合センサです。適切に初期化されるとこれら２個のI2Cスレーブデバイスが出現します
