# ESModuleのExamplesのリスト
# github pagesのJekyllの機能で_dataにあるcsvを使ってテーブル化することも考えましたが、テーブル化だけでなく、csv自体をデータとしてwebから使いたいケースに対応できなさそうなのでwebAppsで組み立てることにした・・・

GPIO
hello-real-world,Lチカ or モーターON/OFF,GPIO PORT26に繋いだLEDを点滅させる。またはモータのOn/Offを繰り返す
gpio-onchange,スイッチ,GPIO PORT5に繋いだスイッチのON/OFFを検知する
gpio-polling,スイッチ2,GPIO PORT5に繋いだスイッチのON/OFFをポーリングで検知する
gpio-inout,スイッチ+(LED or モータ),GPIO PORT5に繋いだスイッチのON/OFFを検知してPORT26に繋いだLEDもしくはモータをON/OFFする
gpio-onchange,タッチセンサ,GPIO PORT5に繋いだタッチセンサ(TP223使用)のON/OFFを検知する
hbridge1,モータ正転・逆転制御,GPIO接続のH-BridgeモータドライバでDCモータの正転・逆転制御を可能にします。
tb6612fng,モータ正転・逆転制御,GPIO接続のモータードライバIC TB6612FNGでDCモータの正転・逆転制御を可能にします。STBYピンでドライバの動作/待機を切り替えられます。
a4988,ステッピングモータ制御,GPIO接続のA4988ステッピングモータ専用ドライバで２相ステッピングモータの正転・逆転・回転ステップ数を制御を可能にします。<span style="color:red">ステッピングモータは停止中も常に電流が流れているため容易に加熱します。火傷に注意！</span>
gpio-camera,スイッチ+カメラ,GPIOのスイッチをトリガにしてPiZero専用カメラ撮影
isd1820,ボイスレコーダー,ボイスレコーダー(ISD1820)基板をGPIOに接続し、録音した音声を再生する(録音をコントロールすることも可能)
dfplayer,MP3プレーヤー基板,MP3プレーヤー基板(DFPlayer Mini(およびその互換品))をGPIOに接続し、音声を再生する
serial_gps,GPSレシーバ,シリアル接続のGPSレシーバを接続し、位置情報を取得する

I2C
ads1015,電圧測定(ADC),I2C接続のADC（アナログ・デジタルコンバータ）ADS1015経由で電圧を表示します。
ads1x15,電圧測定(ADC),I2C接続の16bitADC（アナログ・デジタルコンバータ）ADS1115経由で可変抵抗器の電圧を表示します。
ads1115-loadcell,重量センサ(ADC+ロードセル),I2C接続の16bitADC　ADS1115の差動入力モードでロードセルの電圧を測定し、重さをはかります。
adt7410,温度センサ,I2C接続の温度センサー「ADT7410」を用いて温度を計測し表示します。
aht10,温度・湿度センサ,I2C接続の温度・湿度センサーAHT10の値を表示します。
aht20,温度・湿度センサ,I2C接続の温度・湿度センサーAHT20の値を表示します。
